time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1780949150869160192,-1.8834707736968994,49.429865827487816,11.082275851216496,359.4969520281256,313.9069518755377,-1.0,-1.0,302.91890888573744,14.948644599910027,-1.0,-1.0
1780949157673166080,4.920535087585449,49.4298656419611,11.082275325882023,359.52069380347854,313.93069365089065,-1.0,-1.0,304.3209244082507,15.967893740088892,-1.0,-1.0
1780949159029492736,6.276861906051636,49.4298558650229,11.082272583348969,364.5274455261231,318.9374453735352,-1.0,-1.0,30.0,16.267083513813386,-1.0,-1.0
1780949173450625792,20.69799494743347,49.42989552989154,11.082542426315886,364.5274340820313,318.9374339294434,-1.0,-1.0,30.0,18.16388306518687,-1.0,-1.0
1780949175891603968,23.138972997665405,49.42986110340376,11.082278241055102,47.30743408203125,0.0,-1.0,-1.0,-1.0,21.890741830748443,-1.0,-1.0
1780949181158998016,28.40636706352234,49.429853341598296,11.082273918637949,0.0,317.22,-1.0,-1.0,32.623962708975085,20.695014,-1.0,-1.0
1780949182224792064,29.472161054611206,49.42989552989154,11.082542426315886,364.5271083374014,318.9371081848135,-1.0,-1.0,37.11030084229577,18.16388306518687,-1.0,-1.0
1780949184744355072,31.991724014282227,49.42985198579281,11.082273200478467,364.5274455261231,318.9374453735352,-1.0,-1.0,30.0,15.027240635565995,-1.0,-1.0
1780949188275261952,35.5226309299469,49.42986485635164,11.082277291449332,47.30744934082031,0.0,-1.0,-1.0,-1.0,21.98896138611639,-1.0,-1.0
1780949194471482880,41.718852043151855,49.42986678213077,11.082282991707334,47.30743408203125,0.0,-1.0,-1.0,-1.0,22.95315168079571,-1.0,-1.0
1780949200660763904,47.908133029937744,49.429864880267246,11.082277320809611,47.30743408203125,0.0,-1.0,-1.0,-1.0,21.958920441202036,-1.0,-1.0
1780949206914270976,54.16163992881775,49.42989552989154,11.082542426315886,364.5274455261231,318.9374453735352,-1.0,-1.0,30.0,18.16388306518687,-1.0,-1.0
1780949206915037184,54.16240620613098,49.42989552989154,11.082542426315886,364.5274455261231,318.9374453735352,-1.0,-1.0,30.0,18.16388306518687,-1.0,-1.0
1780949206937474048,54.18484306335449,49.42989552989154,11.082542426315886,364.52701446533206,318.93701431274417,-1.0,-1.0,30.00007478789556,18.16388306518687,-1.0,-1.0
1780949212838770944,60.08613991737366,49.42989552989154,11.082542426315886,364.1608065484427,318.5708063958548,-1.0,-1.0,31.555878970707145,18.16388306518687,-1.0,-1.0
1780949213170558976,60.417927980422974,49.42986490351701,11.082277313914286,47.30743408203125,0.0,-1.0,-1.0,-1.0,21.94925856910039,-1.0,-1.0
1780949219367668224,66.61503720283508,49.42989552989154,11.082542426315886,364.16035584679344,318.57035569420555,-1.0,-1.0,31.557178127087955,18.16388306518687,-1.0,-1.0
1780949219619981056,66.86735010147095,49.429842438072114,11.082270705066998,0.0,316.69775551166583,-1.0,-1.0,33.22866916836831,23.895014,-1.0,-1.0
1780949219703210752,66.95057988166809,49.42989552989154,11.082542426315886,364.00854652729083,318.41854637470294,-1.0,-1.0,33.8213094560016,18.16388306518687,-1.0,-1.0
1780949225558157824,72.80552697181702,49.42986488614752,11.08227730023383,47.30744934082031,0.0,-1.0,-1.0,-1.0,15.759957630930636,-1.0,-1.0
1780949231752508160,78.99987721443176,49.429864349187085,11.082277657488635,47.30743408203125,0.0,-1.0,-1.0,-1.0,15.004998610228801,-1.0,-1.0
1780949237944192768,85.19156193733215,49.42986451778443,11.082277542354626,47.30744934082031,0.0,-1.0,-1.0,-1.0,12.398732677747283,-1.0,-1.0
1780949240339718656,87.58708763122559,49.42985988636982,11.082275807470948,0.0,316.69775551166583,-1.0,-1.0,50.7288558827418,14.695014,-1.0,-1.0
1780949244419368960,91.66673803329468,49.429859886579365,11.082275807445331,364.00854652729083,318.41854637470294,-1.0,-1.0,55.96409906744072,14.616811339759934,-1.0,-1.0
1780949250369302016,97.61667108535767,49.42986419427349,11.08227775777433,47.30743408203125,0.0,-1.0,-1.0,-1.0,12.040595103701664,-1.0,-1.0
1780949256584322816,103.83169198036194,49.429863621279985,11.082277050949898,47.30744552612305,0.0,-1.0,-1.0,-1.0,10.567268504118577,-1.0,-1.0
1780949262778092800,110.02546191215515,49.42986417359766,11.082278090502237,47.30743408203125,0.0,-1.0,-1.0,-1.0,9.60241285688276,-1.0,-1.0
