time,seconds_elapsed,x,y,z
1780495476724417280,0.4410421848297119,-5.181549072265625,-43.964111328125,-2.75201416015625
1780495476734451200,0.4510762691497803,-5.404571533203125,-43.9437255859375,-3.12420654296875
1780495476744486400,0.46111130714416504,-5.45867919921875,-43.9232177734375,-3.04254150390625
1780495476754521088,0.4711461067199707,-5.659637451171875,-43.886077880859375,-3.3970947265625
1780495476764556288,0.48118114471435547,-5.479705810546875,-43.75798034667969,-3.41412353515625
1780495476774590208,0.49121522903442383,-5.474212646484375,-43.607635498046875,-3.7318115234375
1780495476784625408,0.5012502670288086,-5.444305419921875,-43.522247314453125,-3.7135009765625
1780495476794660352,0.5112853050231934,-5.390380859375,-43.62605285644531,-3.77996826171875
1780495476804695040,0.521320104598999,-5.2957763671875,-43.44267272949219,-3.66827392578125
1780495476814729216,0.5313541889190674,-5.467803955078125,-43.54881286621094,-3.94366455078125
1780495476824764160,0.5413892269134521,-5.4307861328125,-43.535064697265625,-4.06854248046875
1780495476834799360,0.5514242649078369,-5.57232666015625,-43.43458557128906,-4.0799560546875
1780495476844834304,0.5614593029022217,-5.618988037109375,-43.327667236328125,-4.16766357421875
1780495476854868224,0.5714931488037109,-5.37371826171875,-43.20671081542969,-4.615234375
1780495476864903168,0.5815281867980957,-5.56280517578125,-43.033966064453125,-4.866455078125
1780495476874938368,0.5915632247924805,-5.56280517578125,-43.033966064453125,-4.866455078125
1780495476884973312,0.6015982627868652,-5.69207763671875,-42.74949645996094,-5.4052734375
1780495476895008256,0.61163330078125,-5.9342041015625,-42.74229431152344,-5.56048583984375
1780495476905042176,0.6216671466827393,-6.016571044921875,-42.67390441894531,-5.68450927734375
1780495476915077120,0.631702184677124,-6.05804443359375,-42.54054260253906,-5.990966796875
1780495476925112320,0.6417372226715088,-6.3758544921875,-42.52156066894531,-6.17657470703125
1780495476935147264,0.6517722606658936,-6.6441650390625,-42.2867431640625,-6.64501953125
1780495476945181184,0.6618061065673828,-6.387054443359375,-42.211578369140625,-7.52386474609375
1780495476955216128,0.6718411445617676,-6.56988525390625,-41.9576416015625,-8.1131591796875
1780495476965251328,0.6818761825561523,-6.72802734375,-41.806854248046875,-8.44171142578125
1780495476975286272,0.6919112205505371,-6.567474365234375,-41.739654541015625,-8.90478515625
1780495476985320448,0.7019453048706055,-6.547698974609375,-41.613677978515625,-9.21978759765625
1780495476995355136,0.7119801044464111,-6.72601318359375,-41.4302978515625,-9.379150390625
1780495477005390080,0.7220151424407959,-7.001312255859375,-41.37705993652344,-9.26727294921875
1780495477015425280,0.7320501804351807,-7.008087158203125,-41.34477233886719,-9.3770751953125
1780495477025459200,0.742084264755249,-7.088134765625,-41.19505310058594,-9.6295166015625
1780495477035494400,0.7521193027496338,-7.2176513671875,-41.07804870605469,-9.84759521484375
1780495477045529088,0.7621541023254395,-7.40618896484375,-40.677886962890625,-10.23504638671875
1780495477055564288,0.7721891403198242,-7.59686279296875,-40.41319274902344,-10.78948974609375
1780495477065599232,0.782224178314209,-7.751861572265625,-40.214324951171875,-11.4354248046875
1780495477075633408,0.7922582626342773,-8.657196044921875,-40.0506591796875,-11.71124267578125
1780495477085668352,0.8022933006286621,-8.712799072265625,-39.80879211425781,-12.0469970703125
1780495477095703040,0.8123281002044678,-8.328216552734375,-39.60572814941406,-12.099853515625
1780495477105738240,0.8223631381988525,-8.533935546875,-39.57087707519531,-12.1134033203125
1780495477115772160,0.8323972225189209,-8.43499755859375,-39.50286865234375,-12.3349609375
1780495477125807360,0.8424322605133057,-7.9927978515625,-39.3995361328125,-12.52862548828125
1780495477135842304,0.8524672985076904,-8.02880859375,-39.31303405761719,-12.7401123046875
1780495477145877248,0.8625020980834961,-8.0794677734375,-39.0516357421875,-12.9864501953125
1780495477155911168,0.8725361824035645,-8.234344482421875,-38.623138427734375,-13.5093994140625
1780495477165946368,0.8825712203979492,-8.1414794921875,-38.58592224121094,-13.63421630859375
1780495477175981312,0.892606258392334,-8.498992919921875,-38.25105285644531,-14.05389404296875
1780495477186016256,0.9026412963867188,-8.596771240234375,-38.14549255371094,-13.73260498046875
1780495477196050176,0.912675142288208,-8.4847412109375,-38.02293395996094,-14.32330322265625
1780495477206085120,0.9227101802825928,-8.631927490234375,-37.856109619140625,-14.25335693359375
1780495477216120320,0.9327452182769775,-8.616058349609375,-37.51788330078125,-14.70819091796875
1780495477226155264,0.9427802562713623,-8.4783935546875,-37.51310729980469,-14.48980712890625
1780495477236190208,0.9528152942657471,-8.789459228515625,-37.17790222167969,-15.1011962890625
1780495477246224128,0.9628491401672363,-8.822540283203125,-37.25416564941406,-14.75732421875
1780495477256259328,0.9728841781616211,-8.940032958984375,-37.00047302246094,-15.2579345703125
1780495477266294272,0.9829192161560059,-9.1201171875,-37.05729675292969,-15.07122802734375
1780495477276329216,0.9929542541503906,-8.8128662109375,-36.9261474609375,-15.54974365234375
1780495477286363136,1.0029881000518799,-9.191070556640625,-36.8150634765625,-15.394775390625
1780495477296398080,1.0130231380462646,-9.013946533203125,-36.62535095214844,-16.18597412109375
1780495477306433280,1.0230581760406494,-9.303680419921875,-36.56419372558594,-16.24578857421875
1780495477316468224,1.0330932140350342,-9.62548828125,-36.569915771484375,-16.6021728515625
1780495477326502400,1.0431272983551025,-9.91680908203125,-36.42036437988281,-16.43511962890625
1780495477336537088,1.0531620979309082,-9.909454345703125,-36.483367919921875,-16.52197265625
1780495477346572288,1.063197135925293,-10.38433837890625,-36.39671325683594,-16.49737548828125
1780495477356606976,1.0732319355010986,-10.456756591796875,-36.42643737792969,-16.80474853515625
1780495477366641152,1.083266019821167,-10.57562255859375,-36.311309814453125,-16.881103515625
1780495477376676096,1.0933010578155518,-10.816314697265625,-36.18635559082031,-17.015625
1780495477386710784,1.1033358573913574,-10.80047607421875,-35.8966064453125,-17.1461181640625
1780495477396745984,1.1133708953857422,-10.88250732421875,-36.002166748046875,-17.3369140625
1780495477406780928,1.123405933380127,-11.06573486328125,-36.00651550292969,-17.364013671875
1780495477416815104,1.1334400177001953,-11.145172119140625,-35.942138671875,-17.52099609375
1780495477426850048,1.14347505569458,-11.177520751953125,-35.98228454589844,-17.74188232421875
1780495477436884992,1.1535098552703857,-11.47637939453125,-35.966156005859375,-17.740966796875
1780495477446919936,1.1635448932647705,-11.541748046875,-36.053375244140625,-17.68878173828125
1780495477456954112,1.1735789775848389,-11.655303955078125,-35.98103332519531,-17.90679931640625
1780495477466989056,1.1836140155792236,-11.655303955078125,-35.98103332519531,-17.90679931640625
1780495477477024000,1.1936490535736084,-11.800323486328125,-35.860687255859375,-17.72662353515625
1780495477487058944,1.203683853149414,-11.975921630859375,-35.79670715332031,-17.7349853515625
1780495477497092864,1.2137179374694824,-11.98193359375,-35.82710266113281,-17.88671875
1780495477507128064,1.2237529754638672,-11.9366455078125,-35.876983642578125,-17.8883056640625
1780495477517163008,1.233788013458252,-12.099822998046875,-35.76567077636719,-17.9779052734375
1780495477527197952,1.2438230514526367,-12.3211669921875,-35.53132629394531,-18.33868408203125
1780495477537232896,1.2538578510284424,-12.656646728515625,-35.61936950683594,-18.16552734375
1780495477547267072,1.2638919353485107,-12.725555419921875,-35.595916748046875,-18.10748291015625
1780495477557302016,1.2739269733428955,-12.928131103515625,-35.53947448730469,-18.08056640625
1780495477567336960,1.2839620113372803,-12.943878173828125,-35.404296875,-18.24322509765625
1780495477577372160,1.293997049331665,-12.811859130859375,-35.489288330078125,-18.2225341796875
1780495477587405824,1.3040308952331543,-12.866485595703125,-35.434661865234375,-18.38836669921875
1780495477597441024,1.314065933227539,-13.06781005859375,-35.23527526855469,-18.4708251953125
1780495477607475968,1.3241009712219238,-13.29547119140625,-35.15846252441406,-18.37261962890625
1780495477617510912,1.3341360092163086,-13.394317626953125,-35.061065673828125,-18.5511474609375
1780495477627544832,1.3441698551177979,-13.460906982421875,-34.7926025390625,-18.5689697265625
1780495477637580032,1.3542048931121826,-13.753173828125,-34.51812744140625,-18.72314453125
1780495477647614976,1.3642399311065674,-14.190277099609375,-34.199005126953125,-18.54754638671875
1780495477657649920,1.3742749691009521,-14.51885986328125,-33.866455078125,-18.74627685546875
1780495477667685120,1.384310007095337,-14.398712158203125,-33.6387939453125,-18.739501953125
1780495477677718784,1.3943438529968262,-13.6300048828125,-33.60859680175781,-19.16259765625
1780495477687753984,1.404378890991211,-13.877655029296875,-33.47967529296875,-19.0377197265625
1780495477697788928,1.4144139289855957,-13.780792236328125,-33.06889343261719,-19.23687744140625
1780495477707823872,1.4244489669799805,-13.61102294921875,-32.984466552734375,-18.8992919921875
1780495477717858048,1.4344830513000488,-13.555938720703125,-32.66542053222656,-19.3160400390625
1780495477727892992,1.4445178508758545,-13.616180419921875,-32.53436279296875,-19.10089111328125
1780495477737927936,1.4545528888702393,-13.49603271484375,-32.1240234375,-19.39453125
1780495477747962880,1.464587926864624,-13.450958251953125,-32.21784973144531,-19.29071044921875
1780495477757997056,1.4746220111846924,-13.856170654296875,-32.07917785644531,-19.12603759765625
1780495477768032000,1.4846570491790771,-13.715484619140625,-31.914291381835938,-18.9107666015625
1780495477778066944,1.4946918487548828,-13.959381103515625,-31.691619873046875,-18.84686279296875
1780495477788101888,1.5047268867492676,-13.957550048828125,-31.731826782226562,-18.68536376953125
1780495477798136832,1.5147619247436523,-14.367279052734375,-31.59576416015625,-18.79010009765625
1780495477808171008,1.5247960090637207,-14.21209716796875,-31.540863037109375,-18.7281494140625
1780495477818205952,1.5348310470581055,-14.173919677734375,-31.460891723632812,-18.6148681640625
1780495477828241152,1.5448660850524902,-13.982574462890625,-31.51318359375,-18.52166748046875
1780495477838275840,1.554900884628296,-14.038330078125,-31.479217529296875,-18.21954345703125
1780495477848310016,1.5649349689483643,-13.94500732421875,-31.492874145507812,-18.050537109375
1780495477858344960,1.574970006942749,-14.186676025390625,-31.325607299804688,-17.9962158203125
1780495477868380160,1.5850050449371338,-14.20343017578125,-31.13739013671875,-18.00244140625
1780495477878415104,1.5950400829315186,-14.137847900390625,-31.087158203125,-18.18170166015625
1780495477888449792,1.6050748825073242,-14.229034423828125,-30.89886474609375,-18.32598876953125
1780495477898483968,1.6151089668273926,-14.288177490234375,-30.781524658203125,-18.33099365234375
1780495477908518912,1.6251440048217773,-14.235382080078125,-30.654541015625,-18.4224853515625
1780495477918554112,1.635179042816162,-14.2232666015625,-30.656967163085938,-18.28656005859375
1780495477928589056,1.6452140808105469,-13.8912353515625,-30.689178466796875,-18.3363037109375
1780495477938622976,1.6552479267120361,-14.228179931640625,-30.657882690429688,-18.37548828125
1780495477948657920,1.665282964706421,-14.122711181640625,-30.501373291015625,-18.39996337890625
1780495477958693120,1.6753180027008057,-13.864990234375,-30.381866455078125,-18.7452392578125
1780495477968728064,1.6853530406951904,-14.16094970703125,-30.180145263671875,-18.7181396484375
1780495477978763008,1.6953880786895752,-14.184906005859375,-29.997528076171875,-18.84344482421875
1780495477988796928,1.7054219245910645,-14.065032958984375,-29.942413330078125,-18.739013671875
1780495477998831872,1.7154569625854492,-14.150665283203125,-29.784378051757812,-18.9962158203125
1780495478008867072,1.725492000579834,-14.2293701171875,-29.760848999023438,-19.0157470703125
1780495478018902016,1.7355270385742188,-14.236968994140625,-29.687362670898438,-19.062744140625
1780495478028935936,1.745560884475708,-14.14794921875,-29.63177490234375,-19.04180908203125
1780495478038970880,1.7555959224700928,-14.31707763671875,-29.60333251953125,-19.2127685546875
1780495478049006080,1.7656309604644775,-14.333740234375,-29.485885620117188,-19.439453125
1780495478059041024,1.7756659984588623,-14.17059326171875,-29.618209838867188,-19.5562744140625
1780495478069075968,1.785701036453247,-14.17059326171875,-29.618209838867188,-19.5562744140625
1780495478079109888,1.7957348823547363,-14.301971435546875,-29.65399169921875,-19.34576416015625
1780495478089144832,1.805769920349121,-14.262359619140625,-29.68878173828125,-19.33197021484375
1780495478099180032,1.8158049583435059,-14.134765625,-29.537490844726562,-19.52825927734375
1780495478109214976,1.8258399963378906,-14.296875,-29.55328369140625,-19.40606689453125
1780495478119249152,1.835874080657959,-14.316131591796875,-29.451629638671875,-19.63336181640625
1780495478129283840,1.8459088802337646,-14.251861572265625,-29.315460205078125,-19.47320556640625
1780495478139319040,1.8559439182281494,-14.208282470703125,-29.154144287109375,-19.7332763671875
1780495478149353984,1.8659789562225342,-14.178131103515625,-29.014328002929688,-19.5977783203125
1780495478159388160,1.8760130405426025,-14.239471435546875,-28.701507568359375,-19.8858642578125
1780495478169423104,1.8860480785369873,-13.9468994140625,-28.78851318359375,-19.77044677734375
1780495478179457792,1.896082878112793,-14.127899169921875,-28.80755615234375,-19.911865234375
1780495478189492992,1.9061179161071777,-14.22015380859375,-28.991012573242188,-19.70654296875
1780495478199527936,1.9161529541015625,-14.186767578125,-28.886642456054688,-19.79901123046875
1780495478209562112,1.9261870384216309,-14.206939697265625,-29.142288208007812,-19.3419189453125
1780495478219597056,1.9362220764160156,-13.98712158203125,-29.063003540039062,-19.5452880859375
1780495478229632000,1.9462568759918213,-14.08306884765625,-29.107376098632812,-19.41314697265625
1780495478239666944,1.956291913986206,-14.309661865234375,-28.774856567382812,-19.6982421875
1780495478249701888,1.9663269519805908,-14.396148681640625,-28.529083251953125,-19.6739501953125
1780495478259736064,1.9763610363006592,-14.151336669921875,-28.29736328125,-19.93780517578125
1780495478269771008,1.986396074295044,-14.112945556640625,-28.408096313476562,-19.81732177734375
1780495478279805952,1.9964308738708496,-14.1566162109375,-28.32147216796875,-19.871826171875
1780495478289840896,2.0064659118652344,-13.8951416015625,-28.375808715820312,-19.8375244140625
1780495478299875072,2.0164999961853027,-13.75201416015625,-28.421951293945312,-20.06170654296875
1780495478309910016,2.0265350341796875,-13.6966552734375,-28.612457275390625,-19.74688720703125
1780495478319945216,2.0365700721740723,-13.723297119140625,-28.567855834960938,-19.915283203125
1780495478329979904,2.046604871749878,-13.866546630859375,-28.496688842773438,-19.64874267578125
1780495478340014848,2.0566399097442627,-14.156463623046875,-28.484283447265625,-19.727294921875
1780495478350051072,2.066676139831543,-13.884796142578125,-28.446624755859375,-19.7266845703125
1780495478360086272,2.0767111778259277,-13.909027099609375,-28.278533935546875,-19.72222900390625
1780495478370120960,2.0867459774017334,-13.91864013671875,-28.347930908203125,-19.8751220703125
1780495478380156160,2.096781015396118,-13.848724365234375,-28.451080322265625,-19.94842529296875
1780495478390190080,2.1068150997161865,-14.233154296875,-28.376693725585938,-19.57122802734375
1780495478400225280,2.1168501377105713,-14.194915771484375,-28.46044921875,-19.47552490234375
1780495478410260224,2.126885175704956,-14.081573486328125,-27.951034545898438,-19.29736328125
1780495478420294912,2.1369199752807617,-14.06903076171875,-27.78045654296875,-19.406494140625
1780495478430329088,2.14695405960083,-14.216766357421875,-27.783828735351562,-19.4061279296875
1780495478440364032,2.156989097595215,-14.01910400390625,-27.74530029296875,-19.46771240234375
1780495478450399232,2.1670241355895996,-14.072265625,-27.64691162109375,-19.40045166015625
1780495478460434176,2.1770591735839844,-13.984161376953125,-27.5098876953125,-19.48870849609375
1780495478470469120,2.18709397315979,-13.92108154296875,-27.4095458984375,-19.5423583984375
1780495478480503040,2.1971280574798584,-14.055267333984375,-27.2489013671875,-19.708740234375
1780495478490538240,2.207163095474243,-13.85687255859375,-26.53155517578125,-19.5186767578125
1780495478500573184,2.217198133468628,-13.85028076171875,-26.513336181640625,-19.7835693359375
1780495478510608128,2.2272331714630127,-13.995208740234375,-26.5689697265625,-19.70703125
1780495478520643328,2.2372682094573975,-14.105865478515625,-26.355194091796875,-19.819580078125
1780495478530676992,2.2473020553588867,-13.9110107421875,-25.882080078125,-19.89727783203125
1780495478540712192,2.2573370933532715,-14.06170654296875,-25.73431396484375,-20.03631591796875
1780495478550747136,2.2673721313476562,-14.1544189453125,-25.816741943359375,-20.2489013671875
1780495478560782080,2.277407169342041,-14.075775146484375,-25.7852783203125,-20.32464599609375
1780495478570817280,2.287442207336426,-13.866119384765625,-25.025665283203125,-20.35400390625
1780495478580851200,2.297476053237915,-13.981109619140625,-24.990264892578125,-20.5439453125
1780495478590886144,2.3075110912323,-14.003875732421875,-24.90765380859375,-20.73187255859375
1780495478600921088,2.3175461292266846,-13.929840087890625,-24.839202880859375,-20.5804443359375
1780495478610956288,2.3275811672210693,-13.791900634765625,-24.014251708984375,-20.7689208984375
1780495478620989952,2.3376150131225586,-13.9266357421875,-24.11962890625,-20.7989501953125
1780495478631025152,2.3476500511169434,-14.1517333984375,-24.221649169921875,-20.98931884765625
1780495478641060096,2.357685089111328,-14.669189453125,-24.453369140625,-20.7060546875
1780495478651095040,2.367720127105713,-14.113739013671875,-24.19775390625,-21.10345458984375
1780495478661130240,2.3777551651000977,-14.20965576171875,-24.202239990234375,-21.10491943359375
1780495478671164160,2.387789011001587,-14.20965576171875,-24.202239990234375,-21.10491943359375
1780495478681199104,2.3978240489959717,-14.548126220703125,-24.01751708984375,-21.35491943359375
1780495478691234048,2.4078590869903564,-14.53741455078125,-23.60235595703125,-21.42047119140625
1780495478701269248,2.417894124984741,-14.638641357421875,-23.669586181640625,-21.8387451171875
1780495478711304192,2.427929162979126,-14.95703125,-24.001007080078125,-21.4949951171875
1780495478721338112,2.4379630088806152,-15.202178955078125,-23.80206298828125,-21.8333740234375
1780495478731373056,2.447998046875,-15.632904052734375,-23.893310546875,-21.489013671875
1780495478741408000,2.4580330848693848,-15.96954345703125,-23.94000244140625,-21.87530517578125
1780495478751443200,2.4680681228637695,-16.10382080078125,-24.08489990234375,-21.5595703125
1780495478761477120,2.478102207183838,-16.626220703125,-24.092987060546875,-21.80242919921875
1780495478771512064,2.4881370067596436,-16.6685791015625,-24.049591064453125,-21.79046630859375
1780495478781547008,2.4981720447540283,-17.22479248046875,-24.00396728515625,-22.0284423828125
1780495478791582208,2.508207082748413,-17.689178466796875,-24.00823974609375,-22.0228271484375
1780495478801617152,2.518242120742798,-18.041656494140625,-24.05645751953125,-22.23065185546875
1780495478811651328,2.528276205062866,-18.4403076171875,-24.048431396484375,-22.2354736328125
1780495478821686016,2.538311004638672,-18.82073974609375,-23.92803955078125,-22.42279052734375
1780495478831720960,2.5483460426330566,-19.233917236328125,-23.8453369140625,-22.5242919921875
1780495478841756160,2.5583810806274414,-19.468109130859375,-23.7615966796875,-22.598876953125
1780495478851791104,2.568416118621826,-19.93328857421875,-23.783538818359375,-22.61181640625
1780495478861825280,2.5784502029418945,-20.148681640625,-23.545440673828125,-22.902587890625
1780495478871859968,2.5884850025177,-20.570831298828125,-23.4593505859375,-22.99102783203125
1780495478881895168,2.598520040512085,-20.7001953125,-23.242431640625,-23.263916015625
1780495478891930112,2.6085550785064697,-20.987396240234375,-22.912017822265625,-23.35235595703125
1780495478901964288,2.618589162826538,-21.629913330078125,-22.546722412109375,-23.55584716796875
1780495478911999232,2.628624200820923,-22.02386474609375,-22.424072265625,-23.852783203125
1780495478922033920,2.6386590003967285,-22.499542236328125,-22.38037109375,-23.777587890625
1780495478932069120,2.6486940383911133,-22.9029541015625,-22.18212890625,-23.9031982421875
1780495478942104064,2.658729076385498,-23.174072265625,-22.0391845703125,-23.8570556640625
1780495478952138240,2.6687631607055664,-23.545684814453125,-21.741119384765625,-24.05029296875
1780495478962173184,2.678798198699951,-23.796783447265625,-21.541046142578125,-24.325927734375
1780495478972208128,2.688832998275757,-24.051666259765625,-21.34564208984375,-24.63726806640625
1780495478982243072,2.6988680362701416,-24.5792236328125,-21.002105712890625,-24.63739013671875
1780495478992278016,2.7089030742645264,-25.1046142578125,-20.832427978515625,-24.773681640625
1780495479002312192,2.7189371585845947,-25.284698486328125,-20.77069091796875,-24.79339599609375
1780495479012347136,2.7289721965789795,-25.51983642578125,-20.516815185546875,-24.84576416015625
1780495479022382080,2.739006996154785,-25.683502197265625,-20.355255126953125,-25.12542724609375
1780495479032417024,2.74904203414917,-26.127685546875,-20.121368408203125,-25.20989990234375
1780495479042452224,2.7590770721435547,-26.2030029296875,-19.91290283203125,-25.40032958984375
1780495479052486144,2.769111156463623,-26.511627197265625,-19.575469970703125,-25.481201171875
1780495479062521344,2.779146194458008,-26.811920166015625,-19.36846923828125,-25.3656005859375
1780495479072556032,2.7891809940338135,-27.13037109375,-19.077392578125,-25.597412109375
1780495479082590976,2.7992160320281982,-27.121917724609375,-18.8572998046875,-25.64288330078125
1780495479092625152,2.8092501163482666,-27.531463623046875,-18.7349853515625,-25.66455078125
1780495479102660096,2.8192851543426514,-27.848297119140625,-18.482635498046875,-25.78497314453125
1780495479112695296,2.829320192337036,-28.067626953125,-18.210052490234375,-25.94036865234375
1780495479122729984,2.839354991912842,-28.504486083984375,-18.24365234375,-25.71014404296875
1780495479132764928,2.8493900299072266,-28.664825439453125,-17.862945556640625,-26.0322265625
