time,seconds_elapsed,x,y,z
1781518981713996288,0.020647525787353516,-20.56494140625,-11.138763427734375,-23.836669921875
1781518981724031488,0.03068256378173828,-20.7252197265625,-11.078277587890625,-23.6845703125
1781518981734065408,0.04071640968322754,-20.83453369140625,-11.150787353515625,-23.57421875
1781518981744100352,0.050751447677612305,-20.886962890625,-11.234832763671875,-23.35040283203125
1781518981754135296,0.06078648567199707,-21.83233642578125,-11.14715576171875,-23.36669921875
1781518981764169472,0.07082056999206543,-22.03326416015625,-11.246246337890625,-23.3126220703125
1781518981774204160,0.0808553695678711,-21.981903076171875,-11.125823974609375,-23.32904052734375
1781518981784239360,0.09089040756225586,-21.971923828125,-11.27105712890625,-23.0224609375
1781518981794274304,0.10092544555664062,-21.77606201171875,-11.25537109375,-23.17242431640625
1781518981804308480,0.11095952987670898,-21.774169921875,-11.396240234375,-23.27423095703125
1781518981814343424,0.12099456787109375,-21.772979736328125,-11.330230712890625,-23.42279052734375
1781518981824378368,0.13102936744689941,-21.81292724609375,-11.846405029296875,-23.39990234375
1781518981834412288,0.14106345176696777,-22.0655517578125,-11.95123291015625,-23.51959228515625
1781518981844447488,0.15109848976135254,-21.980133056640625,-11.957275390625,-23.22705078125
1781518981854481920,0.1611330509185791,-21.980133056640625,-11.957275390625,-23.22705078125
1781518981864516608,0.17116785049438477,-22.0616455078125,-12.00341796875,-23.197509765625
1781518981874550784,0.18120193481445312,-21.95989990234375,-11.98358154296875,-23.02935791015625
1781518981884585984,0.1912369728088379,-21.5860595703125,-11.923675537109375,-23.0352783203125
1781518981894620928,0.20127201080322266,-21.66497802734375,-11.767303466796875,-23.11175537109375
1781518981904654848,0.21130585670471191,-21.6982421875,-11.633941650390625,-23.02691650390625
1781518981914689792,0.22134089469909668,-21.6519775390625,-11.799285888671875,-22.92266845703125
1781518981924724736,0.23137593269348145,-21.72381591796875,-11.893280029296875,-22.79547119140625
1781518981934758912,0.2414100170135498,-21.91094970703125,-11.849853515625,-22.8604736328125
1781518981944793856,0.25144505500793457,-21.936676025390625,-11.875518798828125,-22.7138671875
1781518981954828800,0.26147985458374023,-22.229888916015625,-11.92236328125,-22.6993408203125
1781518981964863744,0.271514892578125,-22.1268310546875,-11.869384765625,-22.94732666015625
1781518981974897920,0.28154897689819336,-22.181793212890625,-11.96099853515625,-22.804931640625
1781518981984932864,0.2915840148925781,-21.98040771484375,-12.03173828125,-22.576416015625
1781518981994968064,0.3016190528869629,-22.04058837890625,-12.212677001953125,-22.5946044921875
1781518982005001728,0.31165289878845215,-21.909027099609375,-12.13885498046875,-22.4205322265625
1781518982015036928,0.3216879367828369,-21.764923095703125,-12.243408203125,-22.50494384765625
1781518982025071872,0.3317229747772217,-21.686767578125,-12.177337646484375,-22.2911376953125
1781518982035106048,0.34175705909729004,-21.852935791015625,-12.020538330078125,-21.47528076171875
1781518982045140736,0.3517918586730957,-21.886566162109375,-11.92108154296875,-21.1129150390625
1781518982055175680,0.36182689666748047,-22.014312744140625,-11.857086181640625,-20.5433349609375
1781518982065210880,0.37186193466186523,-21.734649658203125,-11.6600341796875,-20.18243408203125
1781518982075244800,0.3818960189819336,-21.410736083984375,-11.38232421875,-19.781494140625
1781518982085280000,0.39193105697631836,-21.328033447265625,-11.1002197265625,-19.3643798828125
1781518982095314688,0.401965856552124,-22.8397216796875,-10.273162841796875,-18.68206787109375
1781518982105348864,0.4119999408721924,-22.528472900390625,-9.89404296875,-18.34698486328125
1781518982115383808,0.42203497886657715,-22.7587890625,-9.64910888671875,-17.77606201171875
1781518982125419008,0.4320700168609619,-22.375823974609375,-9.07489013671875,-17.61480712890625
1781518982135453952,0.4421050548553467,-23.41668701171875,-8.00994873046875,-16.82916259765625
1781518982145487872,0.45213890075683594,-22.98699951171875,-7.567840576171875,-16.3822021484375
1781518982155522816,0.4621739387512207,-22.6627197265625,-7.064117431640625,-15.83502197265625
1781518982165557760,0.47220897674560547,-22.723846435546875,-6.505859375,-15.262451171875
1781518982175591936,0.48224306106567383,-24.245849609375,-5.06903076171875,-14.49237060546875
1781518982185626624,0.4922778606414795,-24.11920166015625,-4.45751953125,-13.90899658203125
1781518982195661824,0.5023128986358643,-23.70648193359375,-3.6546630859375,-13.555419921875
1781518982205696768,0.512347936630249,-23.3018798828125,-2.914093017578125,-12.9755859375
1781518982215730944,0.5223820209503174,-23.396881103515625,-2.127166748046875,-12.7052001953125
1781518982225765888,0.5324170589447021,-23.34954833984375,-1.46820068359375,-12.41668701171875
1781518982235800832,0.5424518585205078,-23.867431640625,-0.5755615234375,-11.95928955078125
1781518982245834752,0.5524859428405762,-24.076171875,0.195037841796875,-11.7415771484375
1781518982255869952,0.5625209808349609,-24.166259765625,0.791473388671875,-11.8404541015625
1781518982265904896,0.5725560188293457,-24.312957763671875,1.429595947265625,-11.55133056640625
1781518982275939840,0.5825910568237305,-24.279327392578125,2.111907958984375,-11.4649658203125
1781518982285973760,0.5926249027252197,-30.129058837890625,5.465484619140625,-11.75537109375
1781518982296008704,0.6026599407196045,-30.35540771484375,6.05694580078125,-11.5892333984375
1781518982306043904,0.6126949787139893,-30.7464599609375,6.579498291015625,-11.41961669921875
1781518982316077824,0.6227290630340576,-30.91876220703125,6.874420166015625,-11.24859619140625
1781518982326112768,0.6327638626098633,-30.951629638671875,7.330322265625,-10.66412353515625
1781518982336147712,0.642798900604248,-30.973724365234375,7.50555419921875,-10.2506103515625
1781518982346181888,0.6528329849243164,-31.151153564453125,7.923187255859375,-9.7808837890625
1781518982356216832,0.6628680229187012,-31.32794189453125,8.119140625,-9.4283447265625
1781518982366252032,0.6729030609130859,-31.567413330078125,8.533111572265625,-9.03448486328125
1781518982376286720,0.6829378604888916,-31.243865966796875,8.5457763671875,-8.94512939453125
1781518982386320896,0.69297194480896,-31.478240966796875,8.623992919921875,-8.4505615234375
1781518982396355840,0.7030069828033447,-31.516143798828125,8.328948974609375,-8.02532958984375
1781518982406390784,0.7130420207977295,-31.889892578125,8.191375732421875,-7.49310302734375
1781518982416424704,0.7230758666992188,-31.81915283203125,7.84796142578125,-6.989990234375
1781518982426459904,0.7331109046936035,-32.2659912109375,7.676849365234375,-6.59954833984375
1781518982436494848,0.7431459426879883,-31.97528076171875,7.462188720703125,-6.55914306640625
1781518982446529792,0.753180980682373,-32.5279541015625,7.155853271484375,-6.3267822265625
1781518982456563968,0.7632150650024414,-32.174591064453125,6.49755859375,-5.8143310546875
1781518982466598656,0.7732498645782471,-32.330657958984375,5.776214599609375,-5.43548583984375
1781518982476633856,0.7832849025726318,-33.49365234375,5.293853759765625,-4.589599609375
1781518982486667776,0.7933189868927002,-34.0699462890625,4.683441162109375,-4.07049560546875
1781518982496702976,0.803354024887085,-34.283782958984375,3.595489501953125,-3.14935302734375
1781518982506737920,0.8133890628814697,-33.780853271484375,2.535736083984375,-2.52459716796875
1781518982516772864,0.8234238624572754,-34.033905029296875,1.367523193359375,-1.51025390625
1781518982526806784,0.8334579467773438,-34.425079345703125,0.507720947265625,-1.06280517578125
1781518982536841984,0.8434929847717285,-34.819732666015625,-0.376373291015625,-0.307861328125
1781518982546876928,0.8535280227661133,-35.090484619140625,-1.31048583984375,0.0633544921875
1781518982556910848,0.8635618686676025,-34.75592041015625,-2.336273193359375,0.66094970703125
1781518982566945792,0.8735969066619873,-34.62200927734375,-3.69207763671875,1.65264892578125
1781518982576980736,0.8836319446563721,-34.66094970703125,-4.465179443359375,2.48443603515625
1781518982587015936,0.8936669826507568,-34.94024658203125,-5.48443603515625,3.54156494140625
1781518982597049856,0.9037010669708252,-34.8756103515625,-5.98138427734375,4.22344970703125
1781518982607084800,0.9137358665466309,-35.249267578125,-6.58856201171875,5.1944580078125
1781518982617119744,0.9237709045410156,-35.177215576171875,-6.9656982421875,6.171630859375
1781518982627153920,0.933804988861084,-34.901947021484375,-7.362945556640625,6.9085693359375
1781518982637188864,0.9438400268554688,-34.647705078125,-7.9495849609375,7.62109375
1781518982647224064,0.9538750648498535,-34.333526611328125,-8.61676025390625,8.4189453125
1781518982657258752,0.9639098644256592,-33.788421630859375,-9.046661376953125,9.35565185546875
1781518982667292928,0.9739439487457275,-34.072601318359375,-9.582183837890625,10.24920654296875
1781518982677327872,0.9839789867401123,-33.80584716796875,-9.965301513671875,10.86126708984375
1781518982687362816,0.9940140247344971,-33.149658203125,-10.277435302734375,11.61224365234375
1781518982697396736,1.0040478706359863,-32.844635009765625,-10.521881103515625,12.262939453125
1781518982707431680,1.014082908630371,-32.483612060546875,-10.967193603515625,12.97674560546875
1781518982717466880,1.0241179466247559,-31.845703125,-11.580718994140625,13.422119140625
1781518982727501824,1.0341529846191406,-32.1114501953125,-12.047210693359375,14.354248046875
1781518982737536000,1.044187068939209,-31.777099609375,-12.65576171875,15.03778076171875
1781518982747570688,1.0542218685150146,-31.501739501953125,-12.8756103515625,15.5045166015625
1781518982757605888,1.0642569065093994,-31.88739013671875,-13.083770751953125,16.09967041015625
1781518982767639808,1.0742909908294678,-32.309173583984375,-13.417694091796875,17.0574951171875
1781518982777675008,1.0843260288238525,-31.75860595703125,-14.09326171875,17.63763427734375
1781518982787709952,1.0943610668182373,-31.925079345703125,-14.17266845703125,17.87646484375
1781518982797744640,1.104395866394043,-32.096405029296875,-14.38385009765625,18.4168701171875
1781518982807778816,1.1144299507141113,-32.19671630859375,-14.97247314453125,18.9727783203125
1781518982817813760,1.124464988708496,-31.946685791015625,-15.547515869140625,19.4542236328125
1781518982827848960,1.1345000267028809,-31.703826904296875,-15.574493408203125,19.2965087890625
1781518982837882880,1.1445338726043701,-31.240814208984375,-16.18951416015625,19.71173095703125
1781518982847917824,1.1545689105987549,-30.742523193359375,-16.807525634765625,19.91717529296875
1781518982857952768,1.1646039485931396,-30.452178955078125,-17.623321533203125,20.4913330078125
1781518982867987968,1.1746389865875244,-30.43426513671875,-18.129180908203125,20.824951171875
1781518982878021888,1.1846730709075928,-29.895660400390625,-18.6966552734375,20.987060546875
1781518982888057088,1.1947081089019775,-29.77587890625,-19.225921630859375,21.40765380859375
1781518982898091776,1.2047429084777832,-29.312408447265625,-19.567779541015625,21.5618896484375
1781518982908125952,1.2147769927978516,-29.37255859375,-20.017059326171875,21.759521484375
1781518982918160896,1.2248120307922363,-29.097747802734375,-20.400543212890625,21.89935302734375
1781518982928195840,1.234847068786621,-28.963470458984375,-20.9136962890625,22.1617431640625
1781518982938231040,1.2448821067810059,-28.55364990234375,-21.289276123046875,22.179931640625
1781518982948264960,1.2549159526824951,-27.592529296875,-21.05145263671875,21.9127197265625
1781518982958299904,1.2649509906768799,-26.87908935546875,-21.543853759765625,21.5706787109375
1781518982968334848,1.2749860286712646,-26.71661376953125,-21.841552734375,22.0142822265625
1781518982978369024,1.285020112991333,-26.306793212890625,-22.294708251953125,22.37322998046875
1781518982988403712,1.2950549125671387,-25.64764404296875,-22.738677978515625,22.19488525390625
1781518982998438912,1.3050899505615234,-25.341705322265625,-22.961090087890625,22.3621826171875
1781518983008473856,1.3151249885559082,-25.1307373046875,-23.314361572265625,22.59100341796875
1781518983018508032,1.3251590728759766,-25.1307373046875,-23.314361572265625,22.59100341796875
1781518983028542976,1.3351941108703613,-24.30096435546875,-23.40997314453125,22.45867919921875
1781518983038577920,1.345228910446167,-24.217926025390625,-23.60272216796875,22.5909423828125
1781518983048611840,1.3552629947662354,-24.033172607421875,-23.790130615234375,22.9886474609375
1781518983058647040,1.3652980327606201,-23.600555419921875,-24.254608154296875,22.8819580078125
1781518983068681984,1.3753330707550049,-23.140045166015625,-23.69219970703125,22.7252197265625
1781518983078716928,1.3853681087493896,-22.706451416015625,-23.933441162109375,23.1082763671875
1781518983088750848,1.395401954650879,-22.36724853515625,-23.96923828125,23.3023681640625
1781518983098785792,1.4054369926452637,-21.68731689453125,-24.16961669921875,23.59991455078125
1781518983108820992,1.4154720306396484,-21.158477783203125,-24.269195556640625,23.7708740234375
1781518983118855936,1.4255070686340332,-20.6693115234375,-24.331451416015625,24.0167236328125
1781518983128889856,1.4355409145355225,-20.575927734375,-24.33746337890625,24.122314453125
1781518983138924800,1.4455759525299072,-19.90557861328125,-24.375,24.24267578125
1781518983148960000,1.455610990524292,-19.678192138671875,-24.526580810546875,24.5477294921875
1781518983158993920,1.4656450748443604,-19.01336669921875,-24.370025634765625,24.6527099609375
1781518983169029120,1.4756801128387451,-18.6494140625,-24.54522705078125,24.85162353515625
1781518983179063808,1.4857149124145508,-18.04486083984375,-24.440704345703125,24.9678955078125
1781518983189098752,1.4957499504089355,-17.096527099609375,-24.577850341796875,24.9168701171875
1781518983199132928,1.505784034729004,-16.697235107421875,-24.9036865234375,25.35919189453125
1781518983209167872,1.5158190727233887,-17.000885009765625,-24.93292236328125,25.49566650390625
1781518983219203072,1.5258541107177734,-16.95458984375,-24.837310791015625,25.53179931640625
1781518983229236736,1.5358879566192627,-16.0006103515625,-24.90985107421875,25.5975341796875
1781518983239271936,1.5459229946136475,-15.8095703125,-24.518768310546875,25.60760498046875
1781518983249306880,1.5559580326080322,-15.30816650390625,-24.381134033203125,25.5889892578125
1781518983259342080,1.565993070602417,-14.9310302734375,-24.3988037109375,26.260498046875
1781518983269375744,1.5760269165039062,-14.823455810546875,-24.2933349609375,26.51202392578125
1781518983279410944,1.586061954498291,-14.330108642578125,-24.048828125,26.37200927734375
1781518983289445888,1.5960969924926758,-14.326019287109375,-23.877227783203125,26.42852783203125
1781518983299480832,1.6061320304870605,-14.309600830078125,-23.84112548828125,26.7230224609375
1781518983309515008,1.616166114807129,-13.9749755859375,-23.646240234375,26.60498046875
1781518983319549696,1.6262009143829346,-13.740814208984375,-23.6099853515625,26.6402587890625
1781518983329584896,1.6362359523773193,-13.8121337890625,-23.622100830078125,26.7393798828125
1781518983339618816,1.6462700366973877,-13.35760498046875,-23.6163330078125,26.83807373046875
1781518983349654016,1.6563050746917725,-13.3404541015625,-23.71441650390625,26.8955078125
1781518983359688960,1.6663401126861572,-13.2672119140625,-23.605438232421875,26.75506591796875
1781518983369723904,1.676374912261963,-13.69635009765625,-23.632110595703125,26.7103271484375
1781518983379757824,1.6864089965820312,-13.44647216796875,-23.504364013671875,26.632568359375
1781518983389793024,1.696444034576416,-13.078460693359375,-23.495635986328125,26.56494140625
1781518983399827968,1.7064790725708008,-13.51397705078125,-23.496002197265625,26.565673828125
1781518983409861888,1.71651291847229,-13.8118896484375,-23.45892333984375,26.4794921875
1781518983419896832,1.7265479564666748,-14.0877685546875,-23.579925537109375,26.5838623046875
1781518983429931776,1.7365829944610596,-14.26422119140625,-23.490447998046875,26.5968017578125
1781518983439966976,1.7466180324554443,-14.267425537109375,-23.561248779296875,26.6141357421875
1781518983450000896,1.7566521167755127,-14.019775390625,-23.5364990234375,26.62017822265625
1781518983460035840,1.7666869163513184,-13.359527587890625,-23.638885498046875,26.405517578125
1781518983470070784,1.7767219543457031,-14.014434814453125,-23.677276611328125,26.45263671875
1781518983480105984,1.786756992340088,-13.912872314453125,-23.724578857421875,26.18194580078125
1781518983490139904,1.7967910766601562,-14.1512451171875,-23.83221435546875,26.30181884765625
1781518983500175104,1.806826114654541,-14.451446533203125,-23.916168212890625,25.9302978515625
1781518983510209792,1.8168609142303467,-14.58734130859375,-23.949798583984375,25.87237548828125
1781518983520243968,1.826894998550415,-14.46343994140625,-24.0391845703125,25.6070556640625
1781518983530278912,1.8369300365447998,-14.801910400390625,-24.333038330078125,25.611328125
1781518983540313856,1.8469650745391846,-14.975860595703125,-24.43182373046875,25.4775390625
1781518983550349056,1.8570001125335693,-14.696441650390625,-24.644195556640625,25.3570556640625
1781518983560382720,1.8670339584350586,-14.725738525390625,-24.874603271484375,24.97039794921875
1781518983570417920,1.8770689964294434,-14.882568359375,-25.0308837890625,24.7384033203125
1781518983580452864,1.8871040344238281,-14.246856689453125,-25.131744384765625,24.3424072265625
1781518983590488064,1.897139072418213,-14.24609375,-25.431884765625,24.1229248046875
1781518983600521728,1.9071729183197021,-14.24609375,-25.431884765625,24.1229248046875
1781518983610556928,1.917207956314087,-13.931610107421875,-25.678985595703125,23.6845703125
1781518983620591872,1.9272429943084717,-13.409515380859375,-25.97113037109375,23.64984130859375
1781518983630626048,1.93727707862854,-13.318817138671875,-26.170562744140625,23.435546875
1781518983640660992,1.9473121166229248,-12.845703125,-26.336212158203125,23.29736328125
1781518983650695680,1.9573469161987305,-12.63580322265625,-26.38037109375,23.20953369140625
